id,Year,REG,State Name,HLSA Num,Line Num,Service Category,SSBG Expenditures,Total TANF,Total SSBG Expenditures,"Other Fed, State, and Local Funds",Children,Adults 59 and Younger,Adults 60 and Older,Adults Unknown,Total Adults,Total Recipients
13,2017,4,Georgia,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
13,2017,4,Georgia,7,21,Protective Services - Adults,1323910,0,1323910,16936419,0,3087,12072,2698,17857,17857
13,2017,4,Georgia,1,22,Protective Services - Children,2871034,2625206,5496240,364195256,16957,0,0,0,0,16957
13,2017,4,Georgia,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
13,2017,4,Georgia,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
13,2017,4,Georgia,6,25,Special Services - Disabled,10719236,0,10719236,319960157,0,0,0,3105,3105,3105
13,2017,4,Georgia,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
13,2017,4,Georgia,4,27,Substance Abuse Services,8500000,0,8500000,79928781,0,111,0,0,111,111
13,2017,4,Georgia,8,28,Transportation,9766466,0,9766466,13920413,0,0,21,15298,15319,15319
13,2017,4,Georgia,8,29,Other Services,11888228,0,11888228,91192204,552,77,116,35196,35389,35941
13,2017,4,Georgia,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
13,2017,4,Georgia,0,32,All Categories,50018009,2625206,52643215,942999063,17509,3275,51406,56297,110978,128487
,2017,9,Guam,1,1,Adoption Services,220691,0,220691,10288,44,72,25,0,97,141
,2017,9,Guam,2,2,Case Management,484866,0,484866,15326,63,103,0,0,103,166
,2017,9,Guam,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,5,7,Education and Training Services,136926,0,136926,3099,1334,946,0,0,946,2280
,2017,9,Guam,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,1,11,Foster Care Services - Children,324562,0,324562,1227731,247,0,0,0,0,247
,2017,9,Guam,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,8,13,Home-Based Services,93153,0,93153,19,212,37,0,0,37,249
,2017,9,Guam,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,2,17,Information and Referral,9202,0,9202,511,19,1,0,0,1,20
,2017,9,Guam,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,8,20,Prevention and Intervention,58569,0,58569,5162,6,3,0,0,3,9
,2017,9,Guam,7,21,Protective Services - Adults,14995,0,14995,450707,0,270,17,0,287,287
,2017,9,Guam,1,22,Protective Services - Children,973617,0,973617,1065695,1538,0,0,0,0,1538
,2017,9,Guam,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
,2017,9,Guam,8,28,Transportation,71838,0,71838,237,318,51,0,0,51,369
,2017,9,Guam,8,29,Other Services,444889,0,444889,18001,52,157,16,0,173,225
,2017,9,Guam,0,31,Administrative Costs,89043,0,89043,0,0,0,0,0,0,0
,2017,9,Guam,0,32,All Categories,2922351,0,2922351,2796776,3833,1640,58,0,1698,5531
15,2017,9,Hawaii,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,1,11,Foster Care Services - Children,578150,0,578150,0,217,0,0,0,0,217
15,2017,9,Hawaii,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,13,Home-Based Services,281223,0,281223,0,0,0,25,0,25,25
15,2017,9,Hawaii,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,7,21,Protective Services - Adults,363309,0,363309,0,0,122,575,12,709,709
15,2017,9,Hawaii,1,22,Protective Services - Children,3249796,9857840,13107636,0,6773,0,0,0,0,6773
15,2017,9,Hawaii,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,1,26,Special Services - Youth at Risk,732770,0,732770,0,4151,0,0,0,0,4151
15,2017,9,Hawaii,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
15,2017,9,Hawaii,0,31,Administrative Costs,238,0,238,0,0,0,0,0,0,0
15,2017,9,Hawaii,0,32,All Categories,5205486,9857840,15063326,0,11141,122,600,12,734,11875
16,2017,10,Idaho,1,1,Adoption Services,11983,4259,16242,9100255,714,0,0,0,0,714
16,2017,10,Idaho,2,2,Case Management,3131310,1016776,4148086,4596281,3096,0,0,0,0,3096
16,2017,10,Idaho,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,3,6,Day Care - Children,39427,0,39427,42446607,14688,0,0,0,0,14688
16,2017,10,Idaho,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,1,11,Foster Care Services - Children,1170358,0,1170358,10592085,732,0,0,0,0,732
16,2017,10,Idaho,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,20,Prevention and Intervention,129671,0,129671,1946529,748,0,0,0,0,748
16,2017,10,Idaho,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,1,22,Protective Services - Children,1305044,271499,1576543,3533043,752,0,0,0,0,752
16,2017,10,Idaho,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,4,24,Residential Treatment,151487,0,151487,979015,20,0,0,0,0,20
16,2017,10,Idaho,6,25,Special Services - Disabled,168540,0,168540,1152577,3658,151,8,0,159,3817
16,2017,10,Idaho,1,26,Special Services - Youth at Risk,884268,0,884268,604660,85,0,0,0,0,85
16,2017,10,Idaho,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
16,2017,10,Idaho,8,29,Other Services,87491,0,87491,106159,2118,0,0,0,0,2118
16,2017,10,Idaho,0,31,Administrative Costs,1012893,0,1012893,0,0,0,0,0,0,0
16,2017,10,Idaho,0,32,All Categories,8092472,1292534,9385006,75057211,26611,151,8,0,159,26770
17,2017,5,Illinois,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,2,2,Case Management,215193,0,215193,34473353,49,0,0,34825,34825,34874
17,2017,5,Illinois,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,2,4,Counseling Services,5215230,0,5215230,30617891,18213,0,12768,7184,19952,38165
17,2017,5,Illinois,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,3,6,Day Care - Children,0,1200000,1200000,818873532,141217,0,0,0,0,141217
17,2017,5,Illinois,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,5,8,Employment Services,2054496,0,2054496,7416331,0,0,227,16282,16509,16509
17,2017,5,Illinois,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,4,12,Health-Related Services,727076,0,727076,8146022,18416,0,0,189,189,18605
17,2017,5,Illinois,8,13,Home-Based Services,18866369,0,18866369,537374066,0,0,0,30563,30563,30563
17,2017,5,Illinois,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,4,19,Pregnancy and Parenting,6598121,0,6598121,20469164,33753,0,0,113786,113786,147539
17,2017,5,Illinois,8,20,Prevention and Intervention,1704865,0,1704865,0,625,0,0,3340,3340,3965
17,2017,5,Illinois,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,1,22,Protective Services - Children,67739,0,67739,0,479,0,0,0,0,479
17,2017,5,Illinois,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,6,25,Special Services - Disabled,3938256,0,3938256,9577895,1829,0,34,13740,13774,15603
17,2017,5,Illinois,1,26,Special Services - Youth at Risk,2709946,0,2709946,8156640,6451,0,0,0,0,6451
17,2017,5,Illinois,4,27,Substance Abuse Services,768050,0,768050,4221344,7062,0,1484,21814,23298,30360
17,2017,5,Illinois,8,28,Transportation,714230,0,714230,8986709,0,0,42060,0,42060,42060
17,2017,5,Illinois,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
17,2017,5,Illinois,0,31,Administrative Costs,1290312,0,1290312,0,0,0,0,0,0,0
17,2017,5,Illinois,0,32,All Categories,44869883,1200000,46069883,1488312947,228094,0,56573,241723,298296,526390
18,2017,5,Indiana,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,2,2,Case Management,7543986,0,7543986,46961080,13786,5656,19601,0,25257,39043
18,2017,5,Indiana,7,3,Congregate Meals,32119,0,32119,8330051,61,97,0,0,97,158
18,2017,5,Indiana,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,7,5,Day Care - Adults,2186331,0,2186331,4198320,0,18,55,5335,5408,5408
18,2017,5,Indiana,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,5,7,Education and Training Services,208856,0,208856,5928325,5540,0,0,4593,4593,10133
18,2017,5,Indiana,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,4,9,Family Planning Services,427240,0,427240,4672952,0,2311,0,0,2311,2311
18,2017,5,Indiana,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,1,11,Foster Care Services - Children,211568,0,211568,116842634,2281,0,0,0,0,2281
18,2017,5,Indiana,4,12,Health-Related Services,88880,0,88880,2183605,0,4,61,0,65,65
18,2017,5,Indiana,8,13,Home-Based Services,2660913,0,2660913,80048683,10346,684,4927,0,5611,15957
18,2017,5,Indiana,7,14,Home-Delivered Meals,238088,0,238088,8840300,0,495,698,0,1193,1193
18,2017,5,Indiana,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,2,17,Information and Referral,262217,0,262217,1149934,0,80516,161033,0,241549,241549
18,2017,5,Indiana,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,7,21,Protective Services - Adults,598661,0,598661,3053921,0,2336,0,0,2336,2336
18,2017,5,Indiana,1,22,Protective Services - Children,3396582,0,3396582,20968034,11761,0,0,0,0,11761
18,2017,5,Indiana,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,4,24,Residential Treatment,325727,0,325727,0,195,0,0,0,0,195
18,2017,5,Indiana,6,25,Special Services - Disabled,78426,0,78426,4534823,0,0,0,859,859,859
18,2017,5,Indiana,1,26,Special Services - Youth at Risk,16792760,0,16792760,34496206,29845,0,0,0,0,29845
18,2017,5,Indiana,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,8,28,Transportation,554208,0,554208,1163334,48,348934,63431,0,412365,412413
18,2017,5,Indiana,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
18,2017,5,Indiana,0,31,Administrative Costs,342074,0,342074,0,0,0,0,0,0,0
18,2017,5,Indiana,0,32,All Categories,35948636,0,35948636,343372202,73863,441051,249806,10787,701644,775507
19,2017,7,Iowa,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,2,2,Case Management,5897218,6608812,12506030,17773406,16764,0,0,0,0,16764
19,2017,7,Iowa,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,7,10,Foster Care Services - Adults,591,0,591,1485,0,2,0,0,2,2
19,2017,7,Iowa,1,11,Foster Care Services - Children,918078,0,918078,1209735,2382,0,0,0,0,2382
19,2017,7,Iowa,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,13,Home-Based Services,3200655,5583040,8783695,32020185,13009,0,0,0,0,13009
19,2017,7,Iowa,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,5,16,Independent/Transitional Living Services,3996291,0,3996291,5768,149,845,0,0,845,994
19,2017,7,Iowa,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,7,21,Protective Services - Adults,126517,0,126517,317721,0,1043,1669,116,2828,2828
19,2017,7,Iowa,1,22,Protective Services - Children,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,6,25,Special Services - Disabled,204533,0,204533,0,0,7,4,0,11,11
19,2017,7,Iowa,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
19,2017,7,Iowa,8,29,Other Services,63437,0,63437,76623,5258,5554,3381,0,8935,14193
19,2017,7,Iowa,0,31,Administrative Costs,910650,770156,1680806,0,0,0,0,0,0,0
19,2017,7,Iowa,0,32,All Categories,15317970,12962008,28279978,51404923,37562,7451,5054,116,12621,50183
20,2017,7,Kansas,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,3,6,Day Care - Children,188875,0,188875,41951961,10578,0,0,0,0,10578
20,2017,7,Kansas,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,1,11,Foster Care Services - Children,5373003,10190183,15563186,147520892,6308,0,0,0,0,6308
20,2017,7,Kansas,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,13,Home-Based Services,4500000,0,4500000,754207,0,0,4201,0,4201,4201
20,2017,7,Kansas,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,7,21,Protective Services - Adults,625375,0,625375,8270716,0,3281,5686,55,9022,9022
20,2017,7,Kansas,1,22,Protective Services - Children,3592951,0,3592951,36774391,37445,0,0,0,0,37445
20,2017,7,Kansas,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,0,31,Administrative Costs,0,0,0,0,0,0,0,0,0,0
20,2017,7,Kansas,0,32,All Categories,14280204,10190183,24470387,235272167,54331,3281,9887,55,13223,67554
21,2017,4,Kentucky,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,1,11,Foster Care Services - Children,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,13,Home-Based Services,606997,0,606997,637267,2282,2747,314,0,3061,5343
21,2017,4,Kentucky,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,5,16,Independent/Transitional Living Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,20,Prevention and Intervention,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,7,21,Protective Services - Adults,1621509,0,1621509,14585743,0,125543,32915,0,158458,158458
21,2017,4,Kentucky,1,22,Protective Services - Children,13410100,0,13410100,113756647,389107,0,0,0,0,389107
21,2017,4,Kentucky,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,4,24,Residential Treatment,5174100,0,5174100,21750730,492,0,0,0,0,492
21,2017,4,Kentucky,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,1,26,Special Services - Youth at Risk,227452,0,227452,2045834,3198,0,0,0,0,3198
21,2017,4,Kentucky,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
21,2017,4,Kentucky,0,31,Administrative Costs,13333,0,13333,0,0,0,0,0,0,0
21,2017,4,Kentucky,0,32,All Categories,21053491,0,21053491,152776221,395079,128290,33229,0,161519,556598
22,2017,6,Louisiana,1,1,Adoption Services,2024123,2486490,4510613,30558424,6735,0,0,0,0,6735
22,2017,6,Louisiana,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,3,6,Day Care - Children,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,5,7,Education and Training Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,5,8,Employment Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,4,9,Family Planning Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,7,10,Foster Care Services - Adults,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,1,11,Foster Care Services - Children,16251321,6858570,23109891,84290320,7821,0,0,0,0,7821
22,2017,6,Louisiana,4,12,Health-Related Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,13,Home-Based Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,7,14,Home-Delivered Meals,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,15,Housing Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,5,16,Independent/Transitional Living Services,72000,0,72000,1151508,30,0,0,0,0,30
22,2017,6,Louisiana,2,17,Information and Referral,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,18,Legal Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,4,19,Pregnancy and Parenting,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,20,Prevention and Intervention,1194923,1823426,3018349,22409511,8985,3861,21,0,3882,12867
22,2017,6,Louisiana,7,21,Protective Services - Adults,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,1,22,Protective Services - Children,2710709,3791898,6502607,46601597,29322,0,0,0,0,29322
22,2017,6,Louisiana,8,23,Recreation Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,4,24,Residential Treatment,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,6,25,Special Services - Disabled,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,1,26,Special Services - Youth at Risk,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,4,27,Substance Abuse Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,28,Transportation,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,8,29,Other Services,0,0,0,0,0,0,0,0,0,0
22,2017,6,Louisiana,0,31,Administrative Costs,431040,1479598,1910638,0,0,0,0,0,0,0
22,2017,6,Louisiana,0,32,All Categories,22684116,16439982,39124098,185011360,52893,3861,21,0,3882,56775
23,2017,1,Maine,1,1,Adoption Services,0,0,0,0,0,0,0,0,0,0
23,2017,1,Maine,2,2,Case Management,0,0,0,0,0,0,0,0,0,0
23,2017,1,Maine,7,3,Congregate Meals,0,0,0,0,0,0,0,0,0,0
23,2017,1,Maine,2,4,Counseling Services,0,0,0,0,0,0,0,0,0,0
23,2017,1,Maine,7,5,Day Care - Adults,0,0,0,0,0,0,0,0,0,0
